City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Pangnirtung,CA,2022-09-11 22:22:26,66.1451,-65.7125,42.13,99,100,8.48,moderate rain
209,Arraial Do Cabo,BR,2022-09-11 22:22:26,-22.9661,-42.0278,67.86,73,100,2.3,overcast clouds
210,Soyo,AO,2022-09-11 22:22:26,-6.1349,12.3689,72.57,87,0,5.48,clear sky
211,Maryborough,AU,2022-09-11 22:22:27,-25.5333,152.7,64.11,59,100,1.95,overcast clouds
212,Livny,RU,2022-09-11 22:22:27,52.4253,37.6069,47.5,86,100,11.79,overcast clouds
213,Vestmannaeyjar,IS,2022-09-11 22:22:27,63.4427,-20.2734,50.52,82,0,16.55,clear sky
214,Muli,MV,2022-09-11 22:22:28,2.9167,73.5667,81.73,77,57,12.71,broken clouds
215,Najran,SA,2022-09-11 22:22:28,17.4924,44.1277,79.45,22,47,4.41,scattered clouds
216,Myitkyina,MM,2022-09-11 22:22:29,25.3833,97.4,72.79,100,91,0.78,overcast clouds
217,Fare,PF,2022-09-11 22:22:29,-16.7,-151.0167,79.57,68,0,16.28,clear sky
218,Camacha,PT,2022-09-11 22:22:29,33.0833,-16.3333,72.82,83,40,8.05,scattered clouds
219,Kloulklubed,PW,2022-09-11 22:22:30,7.0419,134.2556,79.3,78,98,11.65,overcast clouds
220,Jalu,LY,2022-09-11 22:22:30,29.0331,21.5482,82.6,42,0,9.19,clear sky
221,Cap-Aux-Meules,CA,2022-09-11 22:20:02,47.3821,-61.8597,64.45,77,20,12.66,few clouds
222,Mahajanga,MG,2022-09-11 22:22:31,-15.7167,46.3167,69.82,94,40,3.44,scattered clouds
223,Cairns,AU,2022-09-11 22:21:26,-16.9167,145.7667,77.07,73,40,8.05,scattered clouds
224,Vila Franca Do Campo,PT,2022-09-11 22:22:32,37.7167,-25.4333,72.01,83,93,21.59,overcast clouds
225,Salta,AR,2022-09-11 22:22:32,-24.7859,-65.4117,66.79,27,0,10.36,clear sky
226,Raga,SS,2022-09-11 22:22:32,8.4596,25.678,70.47,97,86,3.85,overcast clouds
227,Swakopmund,NA,2022-09-11 22:22:33,-22.6833,14.5333,54.99,88,0,3.0,clear sky
228,Taoudenni,ML,2022-09-11 22:22:33,22.6783,-3.9836,98.91,13,34,2.28,scattered clouds
229,Labuan,MY,2022-09-11 22:22:33,5.2767,115.2417,79.16,94,20,2.3,few clouds
230,Lityn,UA,2022-09-11 22:22:34,49.3251,28.0809,53.04,93,100,9.17,overcast clouds
